,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage,number_survive_proof,latest_survive_streak,number_survive_years
951,TCFC,38,03/14/2013,07/11/2022,3.0,0.175,25.0,1,2013,0
952,SYY,37,07/02/2013,06/30/2022,2.891891891891892,0.49,15.384615384615387,1,2013,9
953,ESS,37,06/26/2013,06/29/2022,2.918918918918919,2.2,11.111111111111114,1,2013,9
954,SBUX,49,04/05/2010,05/12/2022,2.9591836734693877,0.49,30.769230769230774,1,2010,12
955,VBFC,3,11/05/2021,06/02/2022,2.3333333333333335,0.14,0.0,0,2021,1
956,TECH,55,10/30/2008,05/13/2022,2.963636363636364,0.32,7.142857142857139,2,2008,14
957,FRME,118,06/01/1993,06/02/2022,2.9745762711864407,0.32,200.0,3,1993,33
958,TTEK,33,05/14/2014,05/12/2022,2.909090909090909,0.23,25.0,1,2014,8
959,KBAL,135,12/19/1988,06/23/2022,2.977777777777778,0.09,16.666666666666686,4,1988,34
960,MKTX,52,11/06/2009,05/03/2022,2.8846153846153846,0.7,1081.8181818181818,1,2009,13
961,GRMN,25,12/12/2016,09/14/2022,2.88,0.73,9.836065573770497,1,2016,9
962,CLMT,40,04/28/2006,01/29/2016,2.925,0.685,50.0,1,2006,16
963,SPPI,1,12/18/2012,12/18/2012,0.0,0.15,0.0,0,2012,10
964,FSV,29,06/26/2015,06/29/2022,2.896551724137931,0.2025,11.36363636363636,1,2015,7
965,CHI,235,08/15/2002,06/10/2022,1.0127659574468084,0.095,303.1333333333333,2,2002,0
966,BLMN,1,05/10/2022,05/10/2022,2.0,0.14,0.0,0,2022,7
967,BLK,37,08/29/2013,06/03/2022,2.864864864864865,4.88,4187.671232876713,1,2013,9
968,PBIP,32,09/03/2014,06/06/2022,3.0,0.07,900.0,1,2014,17
969,TAIT,24,08/11/2016,05/12/2022,3.0,0.145,222.22222222222217,1,2016,15
970,CMS,36,07/31/2013,05/05/2022,2.9444444444444446,0.46,7.419354838709694,1,2013,9
971,UBFO,20,07/05/2017,04/05/2022,2.95,0.11,40.0,1,2017,24
972,OCSL,103,09/03/2009,06/14/2022,1.5242718446601942,0.165,525.0,1,2009,14
973,SNCRL,4,07/14/2021,04/13/2022,2.25,0.523438,200.00028083581554,0,2021,1
974,FLXS,136,12/15/1988,06/28/2022,2.9558823529411766,0.15,100.0,4,1988,34
975,ADTN,76,07/29/2003,05/18/2022,2.973684210526316,0.09,12.5,2,2003,19
976,CWBC,31,11/06/2014,05/12/2022,3.032258064516129,0.075,50.0,1,2014,24
977,TRST,136,12/05/1988,06/02/2022,2.9558823529411766,0.35,399.99999999999994,4,1988,34
978,GCBC,59,11/13/2007,05/12/2022,3.0,0.13,114.2857142857143,2,2007,22
979,FFIN,115,12/13/1993,06/15/2022,2.973913043478261,0.17,16.66666666666667,3,1993,29
980,EXPI,4,08/13/2021,05/13/2022,2.25,0.04,0.0,0,2021,1
981,PSA,36,09/11/2013,06/14/2022,2.9166666666666665,2.0,21.42857142857143,1,2013,9
982,NWBI,110,01/25/1995,05/04/2022,2.981818181818182,0.2,391.3043478260869,3,1995,27
983,EBMT,87,11/01/2000,05/12/2022,3.0,0.125,42.85714285714283,3,2000,34
984,DSGR,97,12/27/1988,06/29/2012,2.9072164948453607,0.12,100.0,3,1988,34
985,GS,36,08/28/2013,05/31/2022,2.9166666666666665,2.0,60.0,1,2013,9
986,IDCC,47,01/10/2011,07/12/2022,2.9361702127659575,0.35,1500.0,1,2011,11
987,BWA,36,08/01/2013,05/31/2022,2.9166666666666665,0.17,21.428571428571416,1,2013,9
988,UDR,37,07/08/2013,07/08/2022,2.918918918918919,0.38,10.63829787234043,1,2013,9
989,MDLZ,83,12/20/2001,06/29/2022,2.963855421686747,0.35,20.0,3,2001,21
