,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage,number_survive_proof,latest_survive_streak,number_survive_years
87,CSSEN,20,09/14/2020,06/12/2025,2.85,0.59375,23.69791666666667,1,2020,2
88,EVGBC,76,05/02/2016,01/03/2023,0.9736842105263158,0.0,900.0000000000002,1,2016,0
89,FITBO,11,12/26/2019,06/27/2022,2.727272727272727,0.30938,0.0,1,2019,3
90,REFI,2,03/30/2022,06/29/2022,1.5,0.47,17.5,0,2022,0
91,RILY,23,11/25/2016,05/10/2022,3.0,1.0,833.3333333333334,1,2016,8
92,CNNB,1,04/29/2022,04/29/2022,0.0,1.0,0.0,0,2022,0
93,AMWD,61,09/11/1996,06/09/2011,2.901639344262295,0.09,100.0,2,1996,26
94,PAAS,47,11/17/2010,05/23/2022,3.0,0.12,150.0,1,2010,12
95,CATY,126,01/07/1991,05/26/2022,2.984126984126984,0.34,400.0,3,1991,31
96,HNNAZ,2,03/14/2022,06/14/2022,1.5,0.3046875,1.5625,0,2022,0
97,RAVE,13,10/08/1997,10/04/2000,2.769230769230769,0.06,0.0,0,1997,25
98,FWP,1,09/12/2017,09/12/2017,0.0,23.123008,0.0,0,2017,5
99,HAFC,35,12/05/2013,05/06/2022,3.0,0.22,66.66666666666669,1,2013,19
100,HVBC,1,03/07/2018,03/07/2018,0.0,0.5,0.0,0,2018,4
101,VBTX,14,02/06/2019,05/12/2022,2.7857142857142856,0.2,36.0,1,2019,3
102,LEE,13,08/30/2005,08/28/2008,3.0,0.19,5.555555555555557,1,2005,22
103,EBIX,33,05/28/2014,06/02/2022,3.0303030303030303,0.075,0.0,1,2014,11
104,BPRN,15,11/02/2018,05/05/2022,2.8,0.25,233.33333333333337,1,2018,4
105,EPSN,2,03/07/2022,06/14/2022,1.5,0.0625,0.0,0,2022,0
106,HMPT,4,08/19/2021,05/23/2022,2.25,0.04,0.0,0,2021,1
107,CZNC,56,07/01/2008,04/29/2022,3.017857142857143,0.28,37.03703703703704,2,2008,23
108,MGRC,128,04/10/1990,07/14/2022,2.9765625,0.455,30.769230769230774,4,1990,32
109,CHRW,100,12/10/1997,06/02/2022,2.94,0.55,50.0,3,1997,25
110,PARAA,66,02/24/2006,06/14/2022,2.9696969696969697,0.24,100.0,2,2006,16
111,CMCT,96,12/29/1999,06/16/2022,2.84375,0.085,55850.0,3,1999,28
112,MCFT,1,06/13/2016,06/13/2016,0.0,4.3,0.0,0,2016,6
113,CTBI,96,09/11/1998,06/14/2022,2.9791666666666665,0.4,9.523809523809533,3,1998,34
114,PNFP,35,11/22/2013,05/05/2022,2.914285714285714,0.22,50.0,1,2013,9
115,NWE,70,03/22/2005,06/14/2022,2.9571428571428573,0.63,24.0,2,2005,17
116,DNUT,4,10/26/2021,07/26/2022,2.25,0.035,0.0,0,2021,1
117,DXYN,2,05/13/1998,09/10/1998,3.0,0.05,0.0,0,1998,34
118,HSII,36,07/31/2013,05/05/2022,3.0,0.15,15.384615384615387,1,2013,15
119,HAS,89,10/30/2000,07/29/2022,2.932584269662921,0.7,100.0,3,2000,22
120,LANC,135,12/05/1988,06/08/2022,2.977777777777778,0.8,1394.4444444444446,4,1988,34
121,SWKS,33,05/09/2014,05/23/2022,2.909090909090909,0.56,100.0,1,2014,8
122,GOOD,215,12/29/2003,06/21/2022,1.0325581395348837,0.1254,1100.0,2,2003,19
123,CTRN,19,08/28/2015,03/02/2020,2.8947368421052633,0.08,33.33333333333334,1,2015,7
124,WW,31,03/22/2006,09/25/2013,2.903225806451613,0.175,0.0,1,2006,16
125,RCII,11,01/03/2020,06/17/2022,3.0,0.34,15.999999999999986,1,2020,12
126,SPOK,63,02/20/2007,05/24/2022,2.9523809523809526,0.3125,400.0,2,2007,17
127,ODP,15,08/23/2016,02/28/2020,2.8,0.025,0.0,1,2016,6
128,LAND,113,02/13/2013,06/21/2022,0.9911504424778761,0.0454,275.0,1,2013,9
129,GRIN,3,12/02/2021,06/09/2022,2.0,0.47,0.0,0,2021,1
130,MSBI,24,08/10/2016,05/12/2022,2.875,0.29,11.111111111111114,1,2016,6
131,UVSP,5,05/11/2021,05/10/2022,3.0,0.21,5.0,0,2021,24
132,XRAY,112,09/08/1994,06/23/2022,2.9732142857142856,0.125,16.666666666666686,3,1994,28
133,WHF,42,12/26/2012,06/16/2022,2.7142857142857144,0.355,228.7037037037037,1,2012,10
134,HRZN,123,08/19/2011,08/17/2022,1.0975609756097562,0.1,50.0,1,2011,0
135,SASR,105,06/06/1996,05/10/2022,2.961904761904762,0.34,700.0,3,1996,26
136,HURC,36,09/26/2013,06/24/2022,3.0,0.15,40.0,1,2013,33
137,EBAY,14,02/28/2019,05/31/2022,2.7857142857142856,0.22,22.22222222222223,1,2019,3
138,FONR,4,05/13/1998,03/18/1999,2.5,0.0075,1.4210854715202004e-14,0,1998,24
139,CVBF,85,07/02/2001,06/29/2022,2.988235294117647,0.19,28.571428571428555,3,2001,23
140,FSV,29,06/26/2015,06/29/2022,2.896551724137931,0.2025,11.36363636363636,1,2015,7
141,RELL,135,11/17/1988,05/05/2022,2.977777777777778,0.06,150.0,4,1988,34
142,MMLP,78,01/29/2003,05/05/2022,2.9743589743589745,0.005,62.49593760155997,2,2003,19
143,GOODO,12,07/22/2021,06/21/2022,0.9166666666666666,0.125,0.0,0,2021,1
